Identifier,Woreda,Kebele,School Name,Lat,Lot,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Water Service Level,Main Source of Drinking Water Provided by the School,Main Water Source is Currently Available at the School,Sanitation Service Level,Type of Student Toilets at the School,Number of Student Toilets Currently Usable,Toilets are Separate for Girls and Boys,Hygiene Service Level,Handwashing Facilities are at the School,Soap and water available at the handwashing facilities
f6wr-8069-ryn1,Negelle Arsi,Gurate,Gurate,471713,799802,41.70067309,4.26290214,Primary(1-8),421,434,,,,,,,,,,
m1hg-wqx4-3ggd,Shashemene,Shesha,Adventist-2ry,,,34.5112561,0,High School 9-10,342,213,,,,,,,,,,
hr0n-u741-3wan,Negelle Arsi,Ali,Ali,462088,819002,41.87316812,4.175308901,Primary(1-8),179,185,,,,,,,,,,
94wm-fmng-ew5q,Negelle Arsi,Qiqichaa,Qiqichaa,460206,814588,41.83338449,4.158448447,Primary(1-8),166,173,,,,,,,,,,
wrkv-ddbs-a3eq,Negelle Arsi,G/Arjo,G/Arjo,464600,824755,41.92502307,4.19781308,Primary(1-8),261,,,,,,,,,,,
cpyc-aq5q-r7ap,Negelle Arsi,Dole,Dole,463716,831744,41.98788451,4.189587918,Primary(1-8),422,429,,,,,,,,,,
nd6n-3j9s-qj4e,Negelle Arsi,D/D/Harangama,D/D/Harangama,464013,838681,42.05031456,4.192029517,Primary(1-8),341,370,,,,,,,,,,
ctty-as2j-uttf,Negelle Arsi,Gale,Gale,460820,829741,41.96976224,4.163492513,Primary(1-8),220,200,,,,,,,,,,
mues-1bf4-8vyh,Negelle Arsi,Hadha,Hadha,465441,831008,41.98132089,4.20519776,Primary(1-4),81,106,,,,,,,,,,
uxxv-p955-a5kp,Negelle Arsi,Aga Shawo,Aga Shawo,480328,801155,41.71312763,4.340709438,Primary(1-8),137,154,,,,,,,,,,
k6m3-9ycw-dbs0,Shashemene,,,,,34.5112561,0,,,,,,,,,,,,,
xcpu-u57k-95dn,Negelle Arsi,lalu kawa,lalu kawa,473508,814227,41.83057116,4.278653193,Primary(1-4),520,410,,,,,,,,,,
y4ja-kuf0-aksb,Negelle Arsi,C/Tulu,C/Tulu,475676,811809,41.80887903,4.298323233,Primary(1-8),160,124,,,,,,,,,,
xm7g-34mj-a38c,Negelle Arsi,S/Laga,S/Laga,467967,810205,41.79418951,4.228718002,Primary(1-8),130,127,,,,,,,,,,
q7q8-44s0-hter,Negelle Arsi,Qararu,Qararu,469152,827513,41.94999715,4.238845686,Primary(1-8),425,354,,,,,,,,,,
aymw-wahw-5r61,Negelle Arsi,R/Totamo,R/Totamo,466436,823966,41.91798465,4.214428002,Primary(1-8),168,158,,,,,,,,,,
ba2w-1mu3-wtsd,Negelle Arsi,Mudhi Arjo,Mudhi Arjo,480570,841746,42.07848868,4.341491659,Primary(1-8),324,216,,,,,,,,,,
11xr-w77a-bpak,Negelle Arsi,Alge,Alge,437894,836695,42.03156039,3.956137383,Primary(1-8),448,323,,,,,,,,,,
g21c-v0wj-y97h,Negelle Arsi,Arjo Fike,Arjo Fike,463501,826790,41.94329859,4.187814836,Primary(1-8),322,283,,,,,,,,,,
