Woreda,Kebele,Village,Site Name,Lat,Lot,Estimated Number of Users,Water Source Type,Depth,Yield,Hand Pump Type,Type of Power,Reservoir Capacity m3,Number of Functional Taps,Number of Non Functional Taps,Functionality Status,Year Commisioned,Organisation the Installed Water Point
Arsi Negele,Maraaroo Hawulo,Maraaroo hawulo,Sheedama,7.1639578,38.8390848,450,Hand dug Well fitted with pump or windlass,,0.6,Afridev,,,,,Functional,2006,Government
Arsi Negele,Qaraaruu,Qaraaruu,Laalessaa,7.3602233,38.7241506,450,Hand dug Well fitted with pump or windlass,,0.25,Indian Mark II,,,,,Non Functional,2002,Government
Arsi Negele,Maraaroo Hawulo,Maraaroo hawulo,Birbirsa Diimaa,7.2387069,38.5963579,450,Hand dug Well fitted with pump or windlass,,0.3,Afridev,,,,,Functional,2003,NGO
Shashemene,w/shagulle,shagulle,shagulle,7.1372104,38.7115349,340,Protected Spring,,0.5,,,,,,Functional,2002,Government
Shashemene,J/Wandare,wadare,wadare,7.1372104,38.7115349,250,Protected Spring,,0.8,,,,,,Non Functional,2003,Government
Arsi Negele,Qaraaruu,Qaraaruu,Karaa diimaa,7.1372104,38.7115349,450,Hand dug Well fitted with pump or windlass,,0.5,Indian Mark II,,,,,Non Functional,2004,Government
Arsi Negele,Qaraaruu,Karaa badaa,Karaa badaa,7.0991554,38.6592174,2250,Shallow  Well fitted with hand pump,,1,Indian Mark II,,,,,Functional,2008,NGO
Shashemene,J/Wandare,jangela,jangela,7.1067555,38.7635521,180,Hand dug Well fitted with pump or windlass,,0.8,Afridev,,,,,Functional,2010,
Shashemene,H /sinboo,Huresa,Huresa,7.1186974,38.7491198,9000,Deep Well with Distribution,240,6,Submersible,Solar,100,,,Non Functional,2007,Government
Arsi Negele,Qaraaruu,Qaraaruu,masino,7.1372104,38.7115349,450,Hand dug Well fitted with pump or windlass,,0.2,Indian Mark II,,,,,Functional,2004,Government
Shashemene,Q/borjota,Borjota,Qore,7.1032219,38.6537177,6000,Deep Well with Distribution,150,2.8,Submersible,Solar,60,,,,2002,LVIA
Shashemene,H /sinboo,Huresa,Ilituu,7.5035027,38.6540077,168,Hand dug Well fitted with pump or windlass,,0.28,Afridev,,,,,Non Functional,2009,NGO
Shashemene,H /sinboo,sinbo,sinbo,7.2128057,38.7257987,420,Shallow  Well fitted with hand pump,,,,,,,,Functional,2005,Kale Hiwot
