Woreda,Kebele,School Name,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Reason for Inventory,Water Supply Source,Water,Year Commisioned,Functionality_Status_of_Water_Supply,Yield,Type of Latrine,Sanitation,latrine_For_Boys_and_Girls_Separate,Number of Boy Pupils,Number of Girl Pupils,Are there Latrines for Disabled?,Latrine_Condition,Presence_of_HandWashingFacility,,hand_washing_in_use,availability_of_soap,Urinal_present_girls,Urinal_present_boys,Separate_latrine_for_tolitet_Staff
Negelle Arsi,Boye,Boye,7.370135216,38.80605628,Primary(1-8),358,321,,,No Service,,,,Simple Pit Latrine,Limited,Yes,358,321,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Sad.2ffa Basaqu,Sad.2ffa Basaqu,7.346153486,38.80287737,High School 9-10,295,190,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,295,190,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Gambelto,Gambelto,7.314208337,38.75665866,Primary(1-8),480,409,,,No Service,,,,Simple Pit Latrine,Limited,Yes,480,409,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Sad.2ffa Qalo Duro,Sad.2ffa Qalo Duro,7.280499396,38.73279678,High School 9-10,344,185,,,No Service,,,,Simple Pit Latrine,Limited,Yes,344,185,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Gode sad 2faa,Gode sad 2faa,7.171029419,38.80961054,High School 9-10,177,78,,,No Service,,,,Simple Pit Latrine,Limited,Yes,177,78,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Watara sad 2ffaa,,7.239830181,38.71869875,High School 9-10,90,98,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,90,98,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Ch/D/Nyata,Ch/D/Nyata,7.235160526,38.5211061,Primary(1-8),373,331,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,373,331,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Sotira,Sotira,7.201646799,38.80299474,Primary(1-8),353,377,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,353,377,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Weni,Weni,7.379375084,38.71291194,Primary(1-4),62,61,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,62,61,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Bonkore,Bonkore,7.186186847,38.82370657,Primary(1-4),170,179,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,170,179,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Ilala,Ilala,7.329856468,38.8936231,Primary(1-8),328,321,,,No Service,,,,Simple Pit Latrine,Limited,Yes,328,321,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Hawilo,Hawilo,7.194296935,38.75578107,Primary(1-8),358,302,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,358,302,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,w/kiltota,w/kiltota,7.404140489,38.67117598,Primary(1-8),289,267,,,No Service,,,,Simple Pit Latrine,Limited,Yes,289,267,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Sh/Haroresa,Sh/Haroresa,7.358647458,38.6679749,Primary(1-8),299,314,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,299,314,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Awara,Awara,7.320391473,38.85091611,Primary(1-4),193,207,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,193,207,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Daka Langano,Daka Langano,7.618674583,38.68223851,Primary(1-8),310,279,,,No Service,,,,Simple Pit Latrine,Limited,Yes,310,279,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Ashoka,Ashoka,7.352270808,38.6687226,Primary(1-8),404,315,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,404,315,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Bila,Bila,7.540188487,38.50087242,Primary(1-4),168,153,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,168,153,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Sh/Dangaya,Sh/Dangaya,7.53996682,38.46633788,Primary(1-4),258,217,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,258,217,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Arjo,Arjo,7.479706421,38.66932518,Primary(1-8),322,383,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,322,383,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Koticha,Koticha,7.414286801,38.7345111,Primary(1-8),272,242,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,272,242,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,A/Mata Arba,A/Mata Arba,7.180442771,38.78171028,Primary(1-8),345,345,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,345,345,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Qumudu,Qumudu,7.449175118,38.71834055,Primary(1-8),374,306,,,No Service,,,,Simple Pit Latrine,Limited,Yes,374,306,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,karsa no 2,karsa no 2,7.311207386,38.65006265,Primary(1-4),162,159,,,No Service,,,,Simple Pit Latrine,Limited,Yes,162,159,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,D/H/kalo,D/H/kalo,7.652365255,38.68903188,Primary(1-8),408,349,,,No Service,,,,Simple Pit Latrine,Limited,Yes,408,349,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,karsa korke,karsa korke,7.327820995,38.63453884,Primary(1-8),249,198,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,249,198,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Layo,Layo,7.564835778,38.47648709,Primary(1-4),155,161,,,No Service,,,,Simple Pit Latrine,Limited,Yes,155,161,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Boso,Boso,7.488457989,38.68781699,Primary(1-8),306,289,,,No Service,,,,Simple Pit Latrine,Limited,Yes,306,289,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Jido Fikee,Jido Fikee,7.55474846,38.55663936,Primary(1-8),302,290,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,302,290,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,X urge,X urge,7.291130496,38.68061739,Primary(1-8),582,564,,,No Service,,,,Simple Pit Latrine,Limited,Yes,582,564,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Rafu,Rafu,7.440152709,38.66112622,Primary(1-4),73,77,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,73,77,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,CafaDuro,CafaDuro,7.294778415,38.79380415,Primary(1-8),212,213,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,212,213,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Lalesa,Lalesa,7.499811068,38.73003649,Primary(1-8),372,389,,,No Service,,,,Simple Pit Latrine,Limited,Yes,372,389,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Q/Arba,Q/Arba,7.471863126,38.72062806,Primary(1-8),153,152,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,153,152,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Bombaso,Bombaso,7.292161429,38.7522858,Primary(1-8),258,261,,,No Service,,,,Simple Pit Latrine,Limited,Yes,258,261,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,W/Hargisa,W/Hargisa,7.431614678,38.67461735,Primary(1-8),274,231,,,No Service,,,,Simple Pit Latrine,Limited,Yes,274,231,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,L/Laga,L/Laga,7.627405586,38.47156099,Primary(1-4),192,176,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,192,176,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Awade,Awade,7.315456538,38.67100572,Primary(1-4),54,55,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,54,55,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Burqa Gudina,Burqa Gudina,7.374491165,38.77778361,Primary(1-8),91,92,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,91,92,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Aga,Aga,7.277100698,38.83222319,Primary(1-8),290,289,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,290,289,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Ciri,Ciri,7.387501029,38.76420315,Primary(1-4),248,263,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,248,263,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Calalaka,Calalaka,7.294578698,38.79225506,Primary(1-8),383,370,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,383,370,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Basaku,Basaku,7.34885246,38.81061396,Primary(1-8),588,622,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,588,622,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,Sad.2ffa Dole,Sad.2ffa Dole,7.527205624,38.67020479,Primary(1-8),167,144,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,167,144,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Negelle Arsi,M/kadho,M/kadho,7.589827798,38.51520202,Primary(1-8),258,232,,No Water Supply In Premises,No Service,,,,Simple Pit Latrine,Limited,Yes,258,232,No,Dirty But Used,No Service,Yes,No,No,No,No,No
