Woreda,Kebele,School Name,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Reason for Inventory,Water Supply Source,Water,Year Commisioned,Functionality_Status_of_Water_Supply,Yield,Type of Latrine,Sanitation,latrine_For_Boys_and_Girls_Separate,Number of Boy Pupils,Number of Girl Pupils,Are there Latrines for Disabled?,Latrine_Condition,Presence_of_HandWashingFacility,,hand_washing_in_use,availability_of_soap,Urinal_present_girls,Urinal_present_boys,Separate_latrine_for_tolitet_Staff
Shashemene,Meraro,Chorora,7.151644104,38.73610557,Primary(1-8),190,165,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,190,165,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Jigesa,J/Katolik,7.213722252,38.6750289,Primary(1-8),416,379,New Scheme,Pipeline Connection,Basic,2003,Functional,,Simple Pit Latrine,Limited,Yes,416,379,No,"Clean, Used",No Service,Yes,No,No,No,No,Yes
Shashemene,H/Simbo,B/Simbo,7.14808504,38.72910688,Primary(1-8),289,275,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,289,275,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,H/Simbo,S/Tuse,7.150766143,38.71990378,Primary(1-4),157,138,New Scheme,Shallow Well fitted with Pump,Limited,2008,Functional,2,No Latrine,No Service,No,157,138,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,K/Gonde,K/Gonde,7.13387699,38.767677,Primary(1-8),570,583,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,570,583,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,A/Shifa,A/Shifa,7.16110729,38.77235469,Primary(1-8),514,450,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,514,450,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,W/shegule,A/Beke,7.186426419,38.73818686,Primary(1-8),119,95,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,119,95,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,A/Shifa,Shifa,7.156822574,38.58286349,Primary(1-8),368,264,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,368,264,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,K/Gonde,D/Kerso,7.150766143,38.71990378,Primary(1-4),191,230,,No Water Scheme,No Service,,,,No Latrine,No Service,No,191,230,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,Danisa,Danisa,7.265975306,38.65713648,Primary(1-8),360,388,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,360,388,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,K/Gonde,K/Keca,7.168558623,38.73412143,Primary(1-4),159,225,,No Water Scheme,No Service,,,,No Latrine,No Service,No,159,225,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,W/Shegule,W/Shegule,7.216662389,38.71614969,Primary(1-8),493,385,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,493,385,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Sh/Korke,Shesha,7.255313945,38.67422011,Primary(1-8),373,338,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,373,338,No,Dirty But Used,No Service,Yes,No,No,No,No,Yes
Shashemene,T/Kombolcha,Kombolcha,7.249437768,38.47497502,Primary(1-8),330,207,New Scheme,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,330,207,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,T/W/Elemo,W/Dengego,7.138887886,38.67667591,Primary(1-8),353,346,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,No,353,346,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,T/W/Elemo,M/Ferda,7.245911689,38.66902731,Primary(1-4),57,47,,No Water Scheme,No Service,,,,No Latrine,No Service,No,57,47,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,W/Shegule,W/Danshe,7.212954639,38.70350725,Primary(1-4),174,148,,No Water Scheme,No Service,,,,No Latrine,No Service,No,174,148,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,Jelo,Jelo,7.302370499,38.62835374,Primary(1-8),299,258,,No Water Scheme,No Service,,,,No Latrine,No Service,No,299,258,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,Obenso,Obenso,7.138190924,38.67605151,Primary(1-8),222,140,,No Water Scheme,No Service,,,,No Latrine,No Service,No,222,140,No,No Latrine,No Service,Yes,No,No,No,No,No
Shashemene,Sh/Korke,M/Bekumsa,7.269931948,38.62739305,Primary(1-4),45,61,,No Water Scheme,No Service,,,,Simple Pit Latrine,Limited,Yes,45,61,No,Dirty But Used,No Service,Yes,No,No,No,No,No
Shashemene,Sh/Korke,Adventist,7.269931948,38.62739305,Primary(1-8),167,141,New Scheme,Pipeline Connection,Basic,2001,Functional,,Simple Pit Latrine,Limited,Yes,167,141,No,"Clean, Used",No Service,Yes,No,No,No,No,Yes
