Identifier,District,Municipality/Union,Ward Number,School Name,Latitude,Longitude,School Type,Total number of Boys enrolled in the school,Total number of Girls enrolled in the school,What is the total enrolment in the school?,What is the regular number of staff in the school?,Drinking Water,Is there an improved water source that serves the school?,What is the type of improved water source?,What year was the water facility constructed?,Who funded the construction of the water point?,Sanitation,Does the school have any sanitation facilities?,What type of sanitation facilities are present?,"In total, how many functioning stances are for females?","IN total, how many functioning stances are for Males?",Is there a sanitation facility accessible to students with disabilities?,In what year was the latest (MOST RECENT) sanitation facility constructed?,"Condition of the superstructure, roof, walls, and doors",Condition are the floor/slabs/platform,Latrines/cesspits last emptied?,Who paid for the emptying service?,Hygiene,Is there a place for handwashing?,Is there water available at the handwashing station?,Is there soap at hand washing station?,Are there any abandoned or not in use sanitation facilities on the plot that pose a risk or threat to the safety of children?,Do community members not attending the school ever come to use the sanitation facilities?
evf4-13h9-gcwx,Satkhira,Kalaroa Municipality,1,কলারোয়া মডেল হাইস্কুল,22.86165719,89.03468755,Secondary,320,168,488,18,Basic,Yes,Shallow tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,2,2,No,,,,,,Limited,Yes,Yes,No,,
chr9-84cc-4wb3,Barguna,Fuljhuri Union,4,Gelatoli adasso govt primary school,22.22816864,90.13781983,Primary,70,32,102,5,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,Twinpit offset latrine,,,No,,,,,,Basic,Yes,Yes,Yes,,
wj44-pcqy-ktsw,Barguna,Fuljhuri Union,4,pocim gilatoli adasso govt primari school,22.22148677,90.12289022,Primary,68,50,118,6,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,Twinpit offset latrine,,,No,,,,,,Basic,Yes,Yes,Yes,,
43g6-fwrw-qh29,Barguna,Barguna Sadar,1,crok karamotia Islamia dakil madrasa,22.13841088,90.11435751,Madrassa,110,130,240,15,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,,,No,,,,,,No Service,No,No,No,,
0t0p-5b7q-w2qh,Barguna,Barguna Sadar,1,Uttar Hewlibunia govt.primari school,22.13118242,90.11128536,Primary,90,70,160,5,Basic,Yes,Deep tubewell/borehole,,,No Service,No,Pit latrine without slab/open pit,,,No,,,,,,No Service,No,No,No,,
7ptc-fxnm-h0dt,Barguna,Badarkhali Union,3,mado kumrakhali prathomik biddaloy,22.17700774,90.09688837,Primary,39,39,78,5,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,1,1,No,,"Medium - walls are decent, semi permanent door and roof",Bad - dangerous to stand on,,,Basic,Yes,Yes,Yes,,
jx64-g2fb-d14q,Barguna,Badarkhali Union,7,Tetulbaria High School,22.19591228,90.03893974,Secondary,144,1773,1917,11,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,2,2,Yes,,Good and well-raised wall with roof and door,Medium - some minor cracks,,,Basic,Yes,Yes,Yes,,
drmt-5wp8-4kp4,Barguna,Badarkhali Union,7,Purbtetulbaria govt primary school,22.20329405,90.05482289,Primary,75,81,156,5,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,Twinpit offset latrine,1,1,Yes,,Good and well-raised wall with roof and door,Good - No cracks or gaps,,,Basic,Yes,Yes,Yes,,
vdqf-6xwa-q67u,Barguna,Barguna Sadar,1,South Basbunia govt. primari school,22.12810325,90.12316786,Primary,975,101,1076,5,Basic,Yes,Deep tubewell/borehole,,,Limited,Yes,toilet that flush/poor flush to septic tank,,,No,,"Medium - walls are decent, semi permanent door and roof",Medium - some minor cracks,,,Limited,Yes,Yes,No,,
erky-dsep-7ugm,Barguna,Barguna Municipality,4,Jannatul Baki Kowme Madrasha,22.15281499,90.10876039,Madrassa,134,62,196,25,Basic,Yes,Deep tubewell/borehole,,,Basic,Yes,toilet that flush/poor flush to septic tank,2,2,No,,"Poor - short wall, poor or no door",Bad - dangerous to stand on,,,Basic,Yes,Yes,Yes,,
